         2845735542 function calls (2796917270 primitive calls) in 4878.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.242    0.242 4878.830 4878.830 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:211(TripleInversion)
    24999    0.469    0.000 4876.712    0.195 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:403(NextState3)
    37860    0.420    0.000 2205.165    0.058 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:975(SynthesiseRF)
    18930    1.243    0.000 2008.273    0.106 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1359(SynthesiseSWD)
   221292    9.568    0.000 2006.406    0.009 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1431(_FindMinValueSecularFunctionCoarse)
  1836404  420.905    0.000 1991.123    0.001 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1505(_Secular)
    37860  113.571    0.003 1580.618    0.042 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:990(_SynthesiseWV)
58851172/13213140 1096.744    0.000 1380.896    0.000 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1059(_CalcPropagatorMatrix)
 11458184   26.339    0.000  892.509    0.000 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:28(mldivide)
 11458184  276.911    0.000  866.170    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:1813(lstsq)
     4797  630.114    0.131  654.330    0.136 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:664(CalcCovarianceMatrix3)
    37860   17.732    0.000  536.657    0.014 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1252(_CalculateRF)
300985341  316.340    0.000  316.340    0.000 {built-in method numpy.core.multiarray.array}
3710280/530040   55.514    0.000  310.757    0.001 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1329(_ETMTMSumFFT)
 50925916   39.186    0.000  308.833    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:239(hstack)
  7420560   14.052    0.000  255.243    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\fft\fftpack.py:102(fft)
  8026320   15.164    0.000  237.909    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\fft\fftpack.py:47(_raw_fft)
 22916368  190.902    0.000  190.902    0.000 {built-in method numpy.linalg.lapack_lite.zgelsd}
 50925916   34.928    0.000  185.964    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:288(<listcomp>)
   189300    2.016    0.000  182.687    0.001 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:53(BpFilt)
104880632   87.692    0.000  157.856    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:11(atleast_1d)
 27344049   19.014    0.000  153.934    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:182(vstack)
 70476116  151.427    0.000  151.427    0.000 {built-in method numpy.core.multiarray.matmul}
 81166617  129.394    0.000  129.394    0.000 {built-in method numpy.core.multiarray.concatenate}
  7420560  118.173    0.000  118.173    0.000 {built-in method numpy.fft.fftpack_lite.cfftf}
    37860    0.148    0.000  100.015    0.003 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:22(slepian)
    37860   72.272    0.002   99.867    0.003 C:\Users\emily\Anaconda3\lib\site-packages\spectrum\mtm.py:231(dpss)
 27344049   17.594    0.000   96.594    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:237(<listcomp>)
    75720    3.005    0.000   84.637    0.001 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1044(_IFFTSynth)
138650279   84.081    0.000   84.081    0.000 {built-in method numpy.core.multiarray.zeros}
167951510   39.479    0.000   82.271    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:534(asanyarray)
 54688348   45.573    0.000   78.999    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:63(atleast_2d)
   189300   10.935    0.000   76.588    0.000 C:\Users\emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:2461(detrend)
    37860    0.980    0.000   76.217    0.002 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline_three.py:1203(_PrepWaveform)
  8026320   15.620    0.000   71.978    0.000 C:\Users\emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:257(put_twiddle_factors)
   189300    0.450    0.000   65.727    0.000 C:\Users\emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:46(ButterBandpass)
   189300    0.346    0.000   65.278    0.000 C:\Users\emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:2226(butter)
   189300    4.787    0.000   64.931    0.000 C:\Users\emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:1727(iirfilter)
