         64853734 function calls (64345389 primitive calls) in 139.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.072    0.072  133.765  133.765 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:94(JointInversion)
     1503    0.030    0.000   57.366    0.038 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:542(SynthesiseRF)
     1503    0.078    0.000   42.122    0.028 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:889(SynthesiseSWD)
     7872    0.533    0.000   41.983    0.005 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:943(_FindMinValueSecularFunction)
    78800   13.581    0.000   41.188    0.001 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:986(_Secular)
      414   31.905    0.077   33.474    0.081 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:375(CalcCovarianceMatrix)
     1503    4.508    0.003   28.622    0.019 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:556(_SynthesiseWV)
     1503    0.876    0.001   24.052    0.016 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:805(_CalculateRF)
869359/524547   14.808    0.000   19.634    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:626(_CalcPropagatorMatrix)
147294/21042    2.732    0.000   14.683    0.001 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:859(_ETMTMSumFFT)
   294588    0.664    0.000   11.950    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\fftpack.py:102(fft)
   318636    0.747    0.000   11.146    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\fftpack.py:47(_raw_fft)
    80208    0.271    0.000    9.832    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:28(mldivide)
    80208    2.849    0.000    9.561    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:1813(lstsq)
     6012    0.089    0.000    7.899    0.001 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:53(BpFilt)
   949984    0.927    0.000    7.071    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:239(hstack)
  5804583    6.123    0.000    6.123    0.000 {built-in method numpy.core.multiarray.array}
   294588    5.401    0.000    5.401    0.000 {built-in method numpy.fft.fftpack_lite.cfftf}
     2007    0.008    0.000    5.143    0.003 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:3227(plot)
     2007    0.011    0.000    5.117    0.003 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\__init__.py:1628(inner)
     2007    0.027    0.000    5.083    0.003 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_axes.py:1295(plot)
     1503    0.009    0.000    4.862    0.003 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:22(slepian)
     1503    3.343    0.002    4.853    0.003 C:\Users\Emily\Anaconda3\lib\site-packages\spectrum\mtm.py:231(dpss)
   949984    0.775    0.000    4.129    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:288(<listcomp>)
     1503    0.046    0.000    4.111    0.003 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:761(_PrepWaveform)
   556199    0.489    0.000    3.842    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:182(vstack)
     6012    0.449    0.000    3.658    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\signaltools.py:2461(detrend)
  1996320    2.026    0.000    3.615    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:11(atleast_1d)
   318636    0.759    0.000    3.442    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\fft\helper.py:257(put_twiddle_factors)
  1614708    3.374    0.000    3.374    0.000 {built-in method numpy.core.multiarray.concatenate}
     2007    0.037    0.000    2.959    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2216(autoscale_view)
   589359    2.749    0.000    2.749    0.000 {built-in method numpy.core.multiarray.matmul}
     6012    0.020    0.000    2.611    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:46(ButterBandpass)
     6012    0.015    0.000    2.591    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\signal\filter_design.py:2226(butter)
